,Reaction,Product
342830,C = O . C C ( C ) ( S ) [C@H] ( N ) C ( N ) = O > A_O,C C 1 ( C ) S C N C 1 C ( N ) = O
194151,C C O C ( = O ) C C ( = O ) C Cl . N c 1 c c c c n 1 > A_[K+] A_O=C([O-])[O-] A_CC#N,C C O C ( = O ) C c 1 c n 2 c c c c c 2 n 1
169447,C = C C O C ( = O ) c 1 c c ( C ) c c c 1 [N+] ( = O ) [O-] >,C = C C O C ( = O ) c 1 c c ( C ) c c c 1 N
320515,C C ( = O ) Cl . N c 1 n c c ( Br ) c n 1 > A_ClCCl,C C ( = O ) N c 1 n c c ( Br ) c n 1
160377,C O c 1 c c ( C = O ) c c ( C # N ) c 1 O > A_ClCCl,N # C c 1 c c ( C = O ) c c ( O ) c 1 O
5172,N c 1 c c c c [n+] 1 C O c 1 c c c c c 1 Br > A_O A_[K+] A_O=C([O-])[O-] A_[Cl-],C 1 = C C 2 = N c 3 c c c c c 3 O C N 2 C = C 1
851499,C O C C 1 C c 2 c c ( C ) c c ( [N+] ( = O ) [O-] ) c 2 O 1 > A_C1CCOC1 A_[Pd],C O C C 1 C c 2 c c ( C ) c c ( N ) c 2 O 1
458186,C N . O = C ( O ) c 1 c c c ( Cl ) n c 1 >,C N C ( = O ) c 1 c c c ( Cl ) n c 1
79148,c 1 c c c ( C 2 C N 3 C C S C 3 = N 2 ) c c 1 > A_O,c 1 c c c ( [C@H] 2 C N 3 C C S C 3 = N 2 ) c c 1
228889,C C ( C ) = C C Br . S c 1 c c c c c 1 Br > A_O A_[K+] A_CN(C)C=O A_O=C([O-])[O-],C C ( C ) = C C S c 1 c c c c c 1 Br
690024,C [O-] . C c 1 c c ( Cl ) n c ( Cl ) c 1 > A_[Na+] A_CO,C O c 1 c c ( C ) c c ( Cl ) n 1
520669,C I . C O C C C O c 1 c c ( Br ) c [nH] c 1 = O > A_O=C([O-])[O-] A_c1ccccc1,C O C C C O c 1 c c ( Br ) c n c 1 O C
611392,C [C@@] ( O ) ( C O ) c 1 c c ( Br ) c c c 1 F > A_ClCCl A_Cl A_CCOC(C)=O A_CCO A_CCCCCC,C [C@] 1 ( c 2 c c ( Br ) c c c 2 F ) C O 1
27080,C C O C ( = O ) C C c 1 c c c c c 1 C C # N > A_[Na+] A_CCOC(C)=O A_[H-] A_c1ccccc1,N # C C c 1 c c c c c 1 C C C O
502205,C C # C C Br . Cl c 1 n c c c 2 [nH] c n c 1 2 > A_[K+] A_CN(C)C=O A_O=C([O-])[O-] A_CCOC(C)=O,C C # C C n 1 c n c 2 c c n c ( Cl ) c 2 1
322998,C O C ( = O ) C 1 = C c 2 c c c c c 2 O C 1 >,C O C ( = O ) C 1 C O c 2 c c c c c 2 C 1
355865,O = C c 1 c c c ( Br ) c c 1 . O B ( O ) c 1 n c c s 1 >,O = C c 1 c c c ( - c 2 n c c s 2 ) c c 1
702846,O = C ( O ) C C c 1 c c c c ( C ( F ) ( F ) F ) c 1 > A_C1CCOC1 A_Cl,O C C C c 1 c c c c ( C ( F ) ( F ) F ) c 1
113429,C O C ( = O ) C C C C C = O . O = C = O >,C C ( C C C ( = O ) O ) C ( = O ) O
81471,C C C C N . C n 1 c n c 2 c ( Cl ) n c 3 c c c c c 3 c 2 1 >,C C C C N c 1 n c 2 c c c c c 2 c 2 c 1 n c n 2 C
588135,C C O . N c 1 n c c ( C ( = O ) O ) c c 1 [N+] ( = O ) [O-] > A_O=S(=O)(O)O,C C O C ( = O ) c 1 c n c ( N ) c ( [N+] ( = O ) [O-] ) c 1
27661,C O c 1 c c c ( C = O ) c c 1 O . O = C ( Cl ) C Cl > A_ClC(Cl)Cl,C O c 1 c c c ( C = O ) c c 1 O C ( = O ) C Cl
314209,C 1 = N C C c 2 c c c c c 2 1 . O = [N+] ( [O-] ) [O-] > A_[K+] A_O=S(=O)(O)O A_N,O = [N+] ( [O-] ) c 1 c c c 2 c c n c c 2 c 1
777514,Cl c 1 c c c 2 c ( n 1 ) [nH] c 1 c c c c c 1 2 > A_O A_[K+] A_O=C([O-])[O-] A_C1COCCO1,c 1 c [nH] c ( - c 2 c c c 3 c ( n 2 ) [nH] c 2 c c c c c 2 3 ) c 1
295791,C C ( C ) I . C C c 1 c c c ( I ) c ( O ) c 1 > A_O A_[K+] A_O=C([O-])[O-],C C c 1 c c c ( I ) c ( O C ( C ) C ) c 1
226626,C O c 1 n c 2 c c ( Br ) c c ( C O ) c 2 n c 1 O C > A_Cl A_CC(=O)O,O = c 1 [nH] c 2 c c ( Br ) c c ( C O ) c 2 [nH] c 1 = O
409080,C C c 1 n c ( C O ) c ( C ) s 1 . O = S ( Cl ) Cl > A_Cc1ccccc1,C C c 1 n c ( C Cl ) c ( C ) s 1
414548,C C C C C S . N # C c 1 c c c c ( Cl ) n 1 > A_C1CCOC1 A_[Na+] A_[H-],C C C C C S c 1 c c c c ( C # N ) n 1
335661,C C ( C ) O . C C ( C ) [O-] . C C ( C ) [O-] >,C C ( C ) C C C C C O
502921,Cl c 1 c c c ( I ) c n 1 . N C C N 1 C C O C C 1 > A_CCOC(C)=O,I c 1 c c c ( N C C N 2 C C O C C 2 ) n c 1
843628,F c 1 c c c c n 1 . O = C C 1 C C 1 > A_C1CCOC1 A_[Cl-] A_[Li]CCCC A_[Li+],O C ( c 1 c c c n c 1 F ) C 1 C C 1
890050,C S ( = O ) ( = O ) Cl . N c 1 c c ( Br ) c 2 c c [nH] c 2 c 1 >,C S ( = O ) ( = O ) N c 1 c c ( Br ) c 2 c c [nH] c 2 c 1
47692,C C 1 ( C ) O C C 2 O C 2 C O 1 . N > A_O,C C 1 ( C ) O C [C@@H] ( O ) [C@H] ( N ) C O 1
40671,C c 1 c c c c c 1 . O = C 1 O C ( = O ) C 2 C C 1 2 > A_CN(C)C=O A_[Cl-],C c 1 c c c ( C ( = O ) [C@H] 2 C [C@H] 2 C ( = O ) O ) c c 1
570739,N # C C 1 ( c 2 c c c ( Br ) c c 2 ) C C 1 . O . [OH-] > A_[K+],O = C ( O ) C 1 ( c 2 c c c ( Br ) c c 2 ) C C 1
902206,C C O C ( = O ) C N 1 C C N ( C C ) C C 1 > A_Cl,C C N 1 C C N ( C C ( = O ) O ) C C 1
867644,C c 1 c c c ( C # N ) c ( Cl ) n 1 . N C ( N ) = S > A_CCCCO,C c 1 c c c ( C # N ) c ( S ) n 1
396872,C 1 C N C C N 1 . C C ( F ) ( F ) c 1 c c c c c 1 Br >,C C ( F ) ( F ) c 1 c c c c c 1 N 1 C C N C C 1
62641,Cl c 1 c c c c ( - c 2 c c c ( Cl ) n n 2 ) c 1 . N N >,N N c 1 c c c ( - c 2 c c c c ( Cl ) c 2 ) n n 1
252243,Br Br . C O C ( = O ) c 1 n c ( Cl ) c c ( N ) c 1 Cl > A_O=S(=O)(O)O,N c 1 c ( Cl ) c ( C ( = O ) O ) n c ( Cl ) c 1 Br
467932,C N C c 1 c n c c ( Br ) c 1 . O = C ( Cl ) c 1 c c c c c 1 >,C N ( C c 1 c n c c ( Br ) c 1 ) C ( = O ) c 1 c c c c c 1
120873,O = [N+] ( [O-] ) c 1 c c c n c 1 Cl . [N-] = C = S > A_[K+] A_CC(=O)O,O = [N+] ( [O-] ) c 1 c c c n c 1 N = C = S
508147,C 1 C N C C N 1 . Cl c 1 c c c 2 c c c c c 2 n 1 > A_[Na+] A_O=C([O-])O,c 1 c c c 2 n c ( N 3 C C N C C 3 ) c c c 2 c 1
900345,C c 1 c c ( Br ) n c c 1 [N+] ( = O ) [O-] > A_O A_[Cl-] A_[NH4+],C c 1 c c ( Br ) n c c 1 N
373175,N C c 1 c c c c ( [N+] ( = O ) [O-] ) c 1 > A_[Na+] A_Cl A_[OH-] A_ClC(Cl)Cl,C C C N ( C C C ) C c 1 c c c c ( [N+] ( = O ) [O-] ) c 1
138517,N # C C Br . O c 1 c c c ( C c 2 c c c c c 2 ) c c 1 > A_C1CCOC1 A_[Na+] A_[H-],N # C C O c 1 c c c ( C c 2 c c c c c 2 ) c c 1
88009,C N O . O = C ( C n 1 c c n c 1 ) c 1 c c c s 1 > A_Cl,C [N+] ( [O-] ) = C ( C n 1 c c n c 1 ) c 1 c c c s 1
67010,c 1 c c c 2 c ( c 1 ) C C O C 2 > A_[Pd] A_[H][H] A_O=C(O)CC(O)(CC(=O)O)C(=O)O,C c 1 c c c c c 1 C C O
318171,O C / C = C / c 1 c c c ( - c 2 n c c c n 2 ) c c 1 > A_CO A_[Pd] A_[NH4+],O C C C c 1 c c c ( - c 2 n c c c n 2 ) c c 1
446768,C C O C ( C S c 1 c c c c c 1 Cl ) O C C >,Cl c 1 c c c c 2 c c s c 1 2
98291,C O C ( = O ) N N . O = C c 1 c c n c 2 c c c c c 1 2 > A_CO,C O C ( = O ) N N = C c 1 c c n c 2 c c c c c 1 2
203578,C / C ( = C \ C = O ) c 1 c c c c c 1 . C O P ( [O-] ) O C > A_Cl,C O P ( = O ) ( O C ) [C@H] ( O ) / C = C ( \ C ) c 1 c c c c c 1
22150,N C ( N ) = O . N C 1 C C C ( = O ) c 2 c c c c c 2 1 > A_N,N C ( = O ) N C 1 C C C ( = O ) c 2 c c c c c 2 1
406842,C C ( C ) ( C ) O C ( = O ) N C C ( O ) C O > A_O A_[Na+],C C ( C ) ( C ) O C ( = O ) N C C = O
582190,N # C C 1 C C 1 . N # C c 1 c c c ( F ) c c 1 > A_C1CCOC1 A_[Na+] A_[K+] A_CCOC(C)=O A_O=C([O-])O,N # C c 1 c c c ( C 2 ( C # N ) C C 2 ) c c 1
213433,Br P ( Br ) Br . C O c 1 c ( C O ) c c c c 1 [N+] ( = O ) [O-] > A_ClCCl A_c1ccncc1,C O c 1 c ( C Br ) c c c c 1 [N+] ( = O ) [O-]
465763,C O C ( = O ) / C ( = C / c 1 c c c n c 1 S C ) N = [N+] = [N-] >,C O C ( = O ) c 1 c c 2 c ( S C ) n c c c 2 [nH] 1
539007,C C O C ( = O ) C 1 C C 1 2 C C C 1 C C C C C 1 C 2 >,O = C ( O ) C 1 C C 1 2 C C C 1 C C C C C 1 C 2
243305,C C ( = O ) O c 1 c c ( C ) c c 2 c 1 C C C C 2 > A_O A_[Na+] A_CO A_CCOC(C)=O A_[OH-],C c 1 c c ( O ) c 2 c ( c 1 ) C C C C 2
401499,C O C ( = O ) C ( Br ) c 1 c c c c c 1 . N C C N > A_[Na+] A_CO A_C[O-],O = C 1 N C C N C 1 c 1 c c c c c 1
122392,c 1 c c 2 c ( c n 1 ) C c 1 c c n c c 1 C 2 > A_[Pd],c 1 c c 2 c c 3 c n c c c 3 c c 2 c n 1
448397,C C ( C ) = O . C C ( C ) c 1 c c c c c 1 N N > A_Cl A_CCO,C c 1 c c 2 c c c c ( C ( C ) C ) c 2 [nH] 1
424482,C C ( C ) c 1 c c c c 2 c 1 O C ( C N = [N+] = [N-] ) C 2 > A_[Na+] A_[Pd],C C ( C ) c 1 c c c c 2 c 1 O C ( C N ) C 2
876051,C O . N # C c 1 c c ( F ) c ( N ) c c 1 F > A_C1CCOC1,C O c 1 c c ( N ) c ( F ) c c 1 C # N
353339,C O c 1 c c ( N = C = O ) c c ( O C ) c 1 O C > A_ClCCl,O = C 1 N C 2 C C C 1 C ( O ) C 2
225456,C N ( C ) / C = C / C = C 1 C = C C = C 1 >,C N ( C ) C 1 = C 2 C = C C = C 2 C C 1
655685,C # C C C C C # C . C C O C ( = O ) C # N >,C C O C ( = O ) c 1 c c 2 c ( c n 1 ) C C C 2
359818,C O C C N C C O C . N c 1 c c ( Cl ) n c n 1 > A_CCN(C(C)C)C(C)C A_CCCCO,C O C C N ( C C O C ) c 1 c c ( N ) n c n 1
52072,C O C ( N ) = O . N c 1 c c c c c 1 > A_CO A_[Cl-],C O C ( = O ) N c 1 c c c c c 1
721322,C # C [Mg] Br . C C O [Si] ( Cl ) ( O C C ) O C C > A_C1CCOC1,C # C [Si] ( O C C ) ( O C C ) O C C
34629,C C ( O ) C 1 = C C 2 ( C C C C 2 ) c 2 c c c c c 2 1 >,C C ( = O ) C 1 = C C 2 ( C C C C 2 ) c 2 c c c c c 2 1
587194,C C O C ( = O ) C C ( = O ) C Cl . C c 1 c n c ( N ) s 1 >,C c 1 c n 2 c ( = O ) c c ( C Cl ) n c 2 s 1
71251,C N . O = C ( O ) C [C@H] ( O ) C ( = O ) O > A_Cc1ccccc1,C N 1 C ( = O ) C [C@H] ( O ) C 1 = O
61764,C N C . Cl c 1 n c 2 c c c c c 2 n 2 c n n c 1 2 > A_CN(C)C=O,C N ( C ) c 1 n c 2 c c c c c 2 n 2 c n n c 1 2
828413,C C O C ( = O ) C 1 C C 1 . O = C ( O ) C ( = O ) O > A_O,C C O C ( = O ) C 1 ( C = O ) C C 1
12251,C C ( C ) ( C ) N . C C B ( C C ) C C >,C C B ( C C ) N C ( C ) ( C ) C
675496,C = C C C O . O = C ( O ) c 1 c c c c ( C Cl ) c 1 > A_[Na+] A_[H-],C = C C C O C c 1 c c c c ( C ( = O ) O ) c 1
485466,C C ( = O ) c 1 c c ( F ) c c c 1 F . N C ( N ) = S >,N c 1 n c ( - c 2 c c ( F ) c c c 2 F ) c s 1
486303,N # C c 1 c c c c c 1 C Br . [N-] = [N+] = [N-] > A_[Na+] A_CC(C)=O,N # C c 1 c c c c c 1 C N = [N+] = [N-]
740676,C O c 1 c c ( C = O ) c c ( F ) c 1 O > A_ClCCl A_c1ccncc1 A_[Cl-],O = C c 1 c c ( O ) c ( O ) c ( F ) c 1
527014,N # C C Cl . O = C ( O ) c 1 c c c ( S ) c c 1 > A_O A_[Na+] A_[K+] A_O=C([O-])[O-] A_[OH-],N # C C S c 1 c c c ( C ( = O ) O ) c c 1
418514,C [Si] ( C ) ( C ) C C O C Cl . N # C c 1 c [nH] c n 1 > A_[K+] A_O=C([O-])[O-] A_CCOC(C)=O A_CC(C)=O,C [Si] ( C ) ( C ) C C O C n 1 c n c ( C # N ) c 1
131947,C C ( C ) O . C C O C ( = O ) C 1 O C 1 C > A_O=S(=O)(O)O,C C O C ( = O ) C ( O ) C ( C ) O C ( C ) C
778171,C C O C ( O C C ) O C C . N c 1 c ( S ) n c n c 1 Cl >,Cl c 1 n c n c 2 s c n c 1 2
333650,C [C@@H] ( C O ) C Br . O c 1 c c c n c 1 Br > A_[K+] A_O=C([O-])[O-],C [C@@H] ( C O ) C O c 1 c c c n c 1 Br
132416,N # C c 1 c c c ( [C@H] 2 C C [C@H] ( C O ) C C 2 ) c c 1 > A_ClCCl A_CCOCC A_[Mg+2],N # C c 1 c c c ( [C@H] 2 C C [C@H] ( C = O ) C C 2 ) c c 1
82555,[Li] c 1 c c c 2 n c ( O C ) c c c 2 c 1 . c 1 c c n n c 1 >,C O c 1 c c c 2 c c ( - c 3 c c c n n 3 ) c c c 2 n 1
9353,C O c 1 c c c ( C ( = O ) Cl ) c c 1 . [C-] # N > A_O A_[Na+] A_ClCCl A_CCCCCC A_[Br-] A_CCCC[N+](CCCC)(CCCC)CCCC,C O c 1 c c c ( C ( = O ) C # N ) c c 1
432568,C c 1 c ( Br ) c n c c 1 Br . O = C = O > A_O A_C1CCOC1 A_[Li]CCCC A_CCCCCC,C c 1 c ( Br ) c n c c 1 C ( = O ) O
699296,O = C ( C Cl ) N C 1 C O c 2 c c c c c 2 C 1 = O > A_O A_C1CCOC1 A_Cl A_[Li+],O = C ( C Cl ) N [C@@H] 1 C O c 2 c c c c c 2 [C@@H] 1 O
250294,C c 1 c c c ( C = C N = C = O ) c c 1 > A_II,C c 1 c c c 2 c c [nH] c ( = O ) c 2 c 1
841490,C C O C ( = O ) c 1 c c c ( I ) c c 1 . c 1 c n [nH] c 1 >,C C O C ( = O ) c 1 c c c ( - n 2 c c c n 2 ) c c 1
550697,C O C ( = O ) c 1 c c ( Cl ) c c c 1 S ( C ) ( = O ) = O > A_[Li+],C S ( = O ) ( = O ) c 1 c c c ( Cl ) c c 1 C O
39940,C C C C C C C C C C C C ( C ) = N O > A_CCO A_[Pd],C C C C C C C C C C C C ( C ) N
173204,Br c 1 c c c ( I ) c c 1 . C C C Br > A_O A_C1CCOC1 A_[Pd] A_c1ccc(P(c2ccccc2)c2ccccc2)cc1 A_c1ccccc1,C C C c 1 c c c ( Br ) c c 1
130117,C O c 1 c c c ( Br ) c c 1 C = O . N O > A_[Na+] A_Cl A_[OH-] A_CC(=O)O A_CC(=O)OC(C)=O A_CC(=O)[O-],C O c 1 c c c ( Br ) c c 1 C # N
204563,Br [Mg] c 1 c c c c c 1 . C C ( = O ) c 1 c c c c c 1 > A_CC(=O)O A_CC(=O)OC(C)=O,C = C ( c 1 c c c c c 1 ) c 1 c c c c c 1
378323,C N 1 c 2 n c c c c 2 C = C C 1 Cl . N C C N >,C N 1 C C c 2 n c ( N C C N ) c c c 2 C 1
744218,C O C ( = O ) C ( C N ( C ) C ) c 1 c c s c 1 > A_O A_C1CCOC1 A_CO A_[OH-] A_CC(=O)O A_[Li+],C N ( C ) C C ( C ( = O ) O ) c 1 c c s c 1
457780,N c 1 c c c c ( C 2 C C C C 2 ) c 1 . [I-] > A_O A_[Na+] A_[K+] A_Cl A_[OH-],I c 1 c c c c ( C 2 C C C C 2 ) c 1
128651,C C C C N . O C ( C C I ) c 1 c c c c c 1 > A_C1CCOC1,C C C C N C C C ( O ) c 1 c c c c c 1
818982,C 1 C C O C 1 . N c 1 c c c c c 1 > A_O A_CCN(CC)CC A_[Cl-],C C C C ( = O ) N c 1 c c c c c 1
179743,C 1 C C N C C 1 . Cl Cl . O c 1 c c c 2 c c c c c 2 c 1 > A_CCN(CC)CC A_Cc1ccccc1,O c 1 c c ( N 2 C C C C C 2 ) c 2 c c c c c 2 c 1 Cl
272681,C C O C ( = O ) C ( = O ) Cl . C N ( C ) C ( = S ) N N > A_O=S(=O)(O)O,C C O C ( = O ) c 1 n n c ( N ( C ) C ) s 1
153190,C c 1 c ( Br ) c c c 2 c 1 O C C O 2 . O = C = O > A_O A_C1CCOC1 A_[Li]CCCC,C c 1 c ( C ( = O ) O ) c c c 2 c 1 O C C O 2
697562,C C ( = O ) C C ( C ) ( C ) C . C C ( = O ) O . N = C N > A_CCCCO,C C ( C ) ( C ) C c 1 c c n c n 1
145356,C C ( = O ) N 1 C C C ( C C O ) C C 1 . C [NH2+] C > A_[Cl-],C = C ( C = O ) C 1 C C N ( C ( C ) = O ) C C 1
472982,C C ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c c c 1 F . N N > A_CCOC(C)=O,C c 1 n [nH] c 2 c c c ( [N+] ( = O ) [O-] ) c c 1 2
189004,C O C ( = O ) c 1 c o c 2 n c c c c 1 2 > A_C1CCOC1 A_Cc1ccccc1 A_[H-],O C c 1 c o c 2 n c c c c 1 2
831278,C = C c 1 c c c ( [Mg] Cl ) c c 1 . C N ( C ) C = O > A_C1CCOC1,C = C c 1 c c c ( C = O ) c c 1
833709,C O C ( = O ) C = C 1 C N 2 C C C 1 C C 2 > A_CCO A_[Pd],C O C ( = O ) C C 1 C N 2 C C C 1 C C 2
708522,C = C C Br . C C ( = O ) c 1 c c c ( F ) c c 1 O > A_O A_[K+] A_CN(C)C=O A_O=C([O-])[O-],C = C C O c 1 c c ( F ) c c c 1 C ( C ) = O
353390,C c 1 c c ( C # N ) c c ( [N+] ( = O ) [O-] ) c 1 N > A_O A_CCO,C c 1 c c ( C # N ) c c ( N ) c 1 N
696336,O = P ( Cl ) ( Cl ) Cl . O = c 1 [nH] c 2 c c c c ( F ) c 2 [nH] 1 >,F c 1 c c c c 2 n c ( Cl ) [nH] c 1 2
217922,C O c 1 c c c ( O ) c c 1 . F c 1 c c c ( C Cl ) c c 1 >,C O c 1 c c c ( O ) c ( C c 2 c c c ( F ) c c 2 ) c 1
61368,C O c 1 c c c 2 [nH] c ( = O ) n c c 2 c 1 O C . C [Mg] Br > A_C1CCOC1 A_CCOCC,C O c 1 c c c 2 c ( c 1 O C ) C ( C ) N C ( = O ) N 2
895984,C C 1 ( C ) C = N N ( C ( N ) = S ) C 1 . C I > A_CO,C S C ( = N ) N 1 C C ( C ) ( C ) C = N 1
233397,C C O C ( C Br ) O C C . O C C C C O > A_[Na+] A_CN(C)C=O A_[H-],C C O C ( C O C C C C O ) O C C
690817,C O . Cl . O = [N+] ( [O-] ) c 1 c c n c c 1 Br > A_[Na+] A_[OH-],[O-] [n+] 1 c c c ( Cl ) c ( Br ) c 1
191464,Br [Mg] c 1 c c c c c 1 . Cl c 1 c n c c n 1 > A_C1CCOC1 A_Cl,c 1 c c c ( - c 2 c n c c n 2 ) c c 1
313230,C c 1 c c c c c 1 B ( O ) O . C c 1 c c c n c 1 Br > A_O A_[Na+] A_O=C([O-])[O-] A_COCCOC,C c 1 c c c c c 1 - c 1 n c c c c 1 C
295919,C C O C ( = O ) C C c 1 c c c c c 1 S C ( C ) = O > A_[Na+] A_CC(=O)[O-] A_CC(C)(C)O,C C ( = O ) S c 1 c c c c c 1 C C C ( = O ) O
209810,N c 1 c c c c n 1 . O = C ( C Cl ) C Cl > A_COCCOC,Cl C c 1 c n 2 c c c c c 2 n 1
23301,C C ( = O ) c 1 c c c c c 1 . N C ( N ) = O >,N C C C ( O ) c 1 c c c c c 1
793926,Br Br . C C O C ( = O ) C ( C ) C ( = O ) C C > A_ClC(Cl)Cl,C C O C ( = O ) C ( C ) C ( = O ) C ( C ) Br
345937,O B ( O ) c 1 c c c c ( Br ) c 1 . O C C N C C O >,Br c 1 c c c c ( B 2 O C C N C C O 2 ) c 1
274611,C [S-] . N # [N+] c 1 c c c ( Cl ) c c 1 Br > A_[Na+] A_CC#N A_N#N,C S c 1 c c c ( Cl ) c c 1 Br
622175,N c 1 c c c c ( Cl ) n 1 . O = C 1 C C C ( = O ) N 1 Br > A_CN(C)C=O,N c 1 c c c ( Br ) c ( Cl ) n 1
572781,C O C ( = O ) / C = C / c 1 c c c ( Br ) c c 1 > A_C1CCOC1 A_[H-] A_[Li+],O C C C c 1 c c c ( Br ) c c 1
80186,C = C ( Cl ) C # N . C C ( = O ) N [C@@H] 1 C C C C [C@H] 1 [Hg] Cl > A_[Na+] A_CCO,C C ( = O ) N [C@@H] 1 C C C C [C@H] 1 C C ( Cl ) C # N
103797,C O . N c 1 c c ( O ) c ( C ( = O ) O ) c c 1 Cl > A_O=S(Cl)Cl,C O C ( = O ) c 1 c c ( Cl ) c ( N ) c c 1 O
622061,O = C ( Cl ) c 1 c c c c ( C ( = O ) Cl ) c 1 > A_C1CCOC1 A_[H-] A_[Li+],O C c 1 c c c c ( C O ) c 1
798049,C O C ( = O ) c 1 c c c 2 c ( c 1 ) O C C 2 > A_C1CCOC1 A_[Na+] A_[OH-] A_[H-] A_[Li+],O C c 1 c c c 2 c ( c 1 ) O C C 2
781982,C O C ( = O ) c 1 c c c ( F ) c c 1 F . O = [N+] ( [O-] ) [O-] > A_[K+] A_O=S(=O)(O)O,C O C ( = O ) c 1 c c ( [N+] ( = O ) [O-] ) c ( F ) c c 1 F
814608,N # C c 1 c c c ( I ) c c 1 . O c 1 c c c n c 1 > A_C1CCOC1 A_[K+] A_CN(C)C=O A_CC(C)(C)[O-],N # C c 1 c c c ( O c 2 c c c n c 2 ) c c 1
